Student Number,Student Age,Average Study Hours,Student Mark,Percentage,Examination Time
14,19,1.308611901,86,66,141
128,19,1,79,61,64
85,19,1,10,8,126
117,19,1,43,33,133
73,19,1.716437421,100,77,109
74,19,1.634254606,16,12,66
131,19,1.230193738,54,42,105
51,19,2.092324475,83,64,145
90,19,1.889375813,55,42,130
72,19,1,65,50,130
125,20,1.770718428,15,12,76
104,21,1.384242625,36,28,104
17,21,2.616025309,36,28,91
147,21,2.290471676,78,60,75
95,21,2.244363634,95,73,38
114,22,1.455380036,27,21,142
118,22,2.032581221,80,62,95
15,22,1.868064302,57,44,64
138,23,2.575034912,30,23,91
92,23,1.210228612,8,6,142
54,23,2.674996582,48,37,154
30,23,1.845993064,57,44,84
97,23,1.261464784,91,70,49
44,23,1.440162092,81,62,100
43,24,1.081567462,44,34,102
102,24,1.562903657,75,58,97
20,24,2.121908496,71,55,44
78,25,1,72,55,67
140,25,1.072939407,92,71,150
144,25,1.528406615,24,18,90
50,25,1.719632393,108,83,130
126,25,1.82270883,45,35,144
71,25,2.98565314,79,61,74
105,25,2.067868667,69,53,116
68,25,2.49785675,45,35,156
110,26,1.226246622,59,45,116
69,26,1.480417993,105,81,129
119,26,1.39243367,21,16,66
129,26,1.486115696,76,58,126
75,27,3.112087101,74,57,122
66,28,1,14,11,121
124,28,1,11,8,76
38,28,2.81879969,27,21,85
62,28,1.575661605,91,70,102
116,28,3.109744404,115,88,63
21,28,1.334636465,75,58,107
121,28,1.791691789,25,19,151
135,28,1.690780947,39,30,163
36,28,1.571379285,58,45,86
86,28,1.559667301,90,69,48
96,29,1,50,38,62
113,29,3.121057098,83,64,154
65,29,2.401439086,40,31,114
82,29,2.43105507,27,21,154
7,29,1.727348657,67,52,90
9,30,3.376129364,105,81,127
55,30,2.808670053,113,87,116
103,30,1.577232516,105,81,60
109,31,2.602917912,37,28,118
67,31,2.146568618,17,13,69
76,31,1.795159256,106,82,64
47,31,2.690206467,37,28,61
148,31,1.91499844,36,28,131
24,31,1.769383802,37,28,74
57,31,2.085742638,46,35,158
4,32,1.569326627,102,78,67
2,32,2.604573135,60,46,69
143,32,2.714558893,41,32,136
23,32,1.960949509,94,72,64
79,33,1.7740641,104,80,106
18,33,1.728835883,107,82,146
111,33,2.014757158,80,62,82
46,33,2.521656635,49,38,78
108,34,2.317600458,49,38,81
32,34,3.450179278,31,24,100
33,34,3.52775853,85,65,67
70,34,3.338154483,65,50,152
34,35,2.280435258,99,76,63
88,35,1.846337461,56,43,138
93,35,2.239732608,101,78,60
39,35,3.364184035,102,78,85
31,35,2.276421833,31,24,166
77,35,2.420655676,15,12,97
3,37,3.023336213,81,62,77
0,37,2.397365802,21,16,61
132,37,2.056600019,50,38,146
127,37,3.899129021,23,18,105
45,37,2.938014589,47,36,96
27,38,2.103912449,12,9,94
91,38,2.07292552,26,20,80
1,39,2.284509812,41,32,166
35,39,3.797558814,29,22,91
89,39,3.566729507,53,41,93
101,39,3.677844487,38,29,101
5,39,2.83912062,44,34,94
80,40,3.894044569,63,48,109
29,40,3.134170622,76,58,134
94,40,3.173485428,47,36,82
26,41,3.122149521,58,45,66
58,41,2.827800652,32,25,157
136,41,2.842433791,28,22,121
28,41,3.29092786,69,53,82
145,41,2.390918647,59,45,127
42,41,3.172199014,43,33,111
98,41,3.732276883,28,22,135
37,42,2.37999945,31,24,90
139,42,3.72088013,23,18,152
141,42,2.988293043,50,38,135
100,42,4.25061688,71,55,120
106,42,4.030543205,88,68,147
149,43,3.985700854,90,69,86
52,43,3.851364273,71,55,151
49,43,3.078447584,110,85,80
83,43,3.690223187,73,56,78
122,44,3.454754602,71,55,82
64,44,3.470305465,109,84,99
11,44,2.798560101,23,18,85
56,44,4.038504003,98,75,80
115,44,4.202820118,32,25,88
81,44,3.813507826,88,68,143
63,45,3.680609127,55,42,155
25,45,3.000542823,49,38,137
142,45,3.944669124,47,36,103
130,45,3.560125859,72,55,136
48,45,3.46236351,58,45,95
16,46,4.026294565,100,77,91
40,46,4.461034239,97,75,149
99,46,4.11065916,57,44,151
61,46,3.492608612,52,40,76
107,46,2.973502962,87,67,100
87,46,3.531122781,96,74,77
137,47,3.269405508,67,52,90
112,47,4.155018991,94,72,106
41,47,3.795187979,93,72,119
8,47,4.383543029,47,36,154
19,47,4.080663788,100,77,137
59,47,4.223212942,57,44,60
123,48,3.800556366,26,20,114
120,48,3.860721974,61,47,147
6,48,3.625880534,52,40,151
133,48,4.614616093,69,53,116
13,48,3.7716154,80,62,137
12,49,3.718830582,73,56,79
146,49,3.180389442,61,47,113
53,49,3.54751076,93,72,97
22,49,3.945323398,119,92,113
10,49,4.378637839,102,78,118
134,50,3.887615975,45,35,77
84,50,3.607756857,58,45,81
60,50,3.539762586,24,18,149
