Student Number,Student Age,Average Study Hours,Student Mark,Percentage,Examination Time
87,27,2.8487715890786953,57,44,49
111,47,3.1096277896442386,24,18,83
10,50,3.0292697502065,55,42,111
91,32,3.2575281436224643,100,77,101
49,49,4.405349154598868,96,74,101
60,46,3.5933950706403444,59,45,95
72,44,3.3537968140987555,114,88,81
67,44,2.7534590218939266,18,14,68
39,33,2.3173582659786796,49,38,55
55,36,2.0693180814873062,86,66,94
66,40,3.6316617455026288,77,59,70
142,49,3.0741708088320774,43,33,89
53,32,1.971900516737945,93,72,32
1,28,2.3875524629024047,110,85,115
19,20,1.1876631104075361,65,50,94
112,23,2.1514534854291965,28,22,108
85,42,3.967136695486439,109,84,63
38,49,3.6224270059928174,61,47,129
21,47,2.946880753887534,112,86,136
35,26,2.706632167341608,54,42,110
102,46,4.2497334365538935,29,22,170
132,26,1.8668382248730309,34,26,152
126,28,2.968958387603907,75,58,42
24,26,1.848061536231465,50,38,100
61,41,2.794605774410008,16,12,73
2,19,2.178803839654472,51,39,46
95,22,2.2327654076771264,91,70,105
90,28,2.2552018161099188,86,66,85
76,39,3.408653230082834,46,35,123
117,31,1.9063731307572962,92,71,45
58,23,2.631417897407116,20,15,151
97,49,4.85189250301563,30,23,58
129,25,1.6340031246115763,21,16,80
114,33,3.3711052364545666,119,92,34
146,43,3.060567413880238,104,80,144
47,39,2.1705278908636343,13,10,166
124,29,1.4183903155474573,79,61,74
120,49,3.289253676028531,19,15,64
118,28,1.378066683234508,66,51,138
141,21,1.1949508468090861,33,25,88
26,20,2.427163463141349,33,25,104
43,45,3.5156990239488213,103,79,87
59,36,2.1404235789591897,83,64,68
41,25,2.6197833308003573,20,15,76
56,38,2.846939680961332,46,35,136
32,29,1.3688652899663283,9,7,130
52,32,3.273662085255505,80,62,90
70,30,1.9485896380307923,39,30,115
121,39,3.538211928143981,27,21,92
144,24,1.6315446856473266,94,72,124
68,48,4.428618123653068,113,87,73
109,34,3.409237722287701,111,85,73
81,39,3.196295034279917,22,17,157
78,35,2.918173032806517,23,18,55
51,49,3.1650199628748394,116,89,133
14,29,2.0752838371481603,103,79,52
48,21,1.5374946582580853,63,48,150
63,27,2.182417292570931,21,16,85
20,33,3.4235251398713884,92,71,97
137,19,1.1204212231880262,16,12,112
29,42,3.152883757756901,75,58,73
3,49,4.506546466055228,111,85,113
106,41,3.104552154706801,22,17,58
98,45,2.9697350999818246,104,80,106
140,24,2.600494632176781,80,62,135
37,43,3.578542799402577,28,22,111
139,32,1.6801004111016393,82,63,121
45,37,3.9378339483924023,66,51,70
82,37,2.4175646664039308,62,48,85
83,35,3.0294034259603393,106,82,131
42,31,2.2160533616709186,55,42,48
143,20,2.205551872696493,34,26,137
131,50,4.255123705411258,112,86,63
116,30,3.0424329523965206,36,28,159
105,32,2.1365062775844326,31,24,117
133,37,2.5095902631855376,93,72,91
6,46,3.8821037822650197,122,94,136
79,38,3.917028394418675,55,42,79
108,24,2.3345926186828745,37,28,115
99,26,1.6068063299135151,96,74,88
34,43,2.68467184223001,63,48,99
128,26,1.9974484583797274,67,52,40
50,34,3.6696249987933385,69,53,91
96,42,3.72114874888889,56,43,50
4,25,1.386507464572922,104,80,57
5,31,1.57347845432279,108,83,69
44,28,3.145287873541248,35,27,164
84,37,3.677298030936853,118,91,96
130,19,2.1758063514971426,109,84,107
103,31,3.4078010456765657,38,29,163
75,23,2.0378728981453493,80,62,43
7,33,3.5018316716955034,23,18,85
46,32,1.8535376285574536,26,20,136
17,40,2.4279206175093844,55,42,119
104,23,1.584057804347669,80,62,48
101,25,2.5331202531418135,112,86,106
